title,url,date,author,category,summary
Using Depthwise Separable Convolutions in Tensorflow,https://machinelearningmastery.com/using-depthwise-separable-convolutions-in-tensorflow/,"August 4, 2022",Zhe Ming Chng,Deep Learning for Computer Vision,"Looking at all of the very large convolutional neural networks such as ResNets, VGGs, and the like, it begs the question on how we can make all of these networks smaller with less parameters while still maintaining the same level of accuracy or even improving generalization of the model using a smaller amount of parameters. […]"
Mastering MLOps: Live Model Deployment & Inference Course with Stefan Krawczyk,https://machinelearningmastery.com/mastering-mlops-live-model-deployment-inference-course-with-stefan-krawczyk/,"July 29, 2022",MLM Team,Partners,"Sponsored Post AI & Machine Learning now power most product experiences even beyond those of the big technology companies. Today, your models must perform and function correctly to ultimately deliver business value. The cost of deploying a slow or bad model, or not detecting undesirable behavior quickly, could significantly impact customer experience and the business’ […]"
Tepper Wants to Nerd Out On Data With You,https://machinelearningmastery.com/tepper-wants-to-nerd-out-on-data-with-you/,"July 28, 2022",MLM Team,Partners,"Sponsored Post There are many practical reasons why you should choose an online Masters in Business Analytics from the Tepper School of Business at Carnegie Mellon University. We can list facts like: our alumni average $103,000 in starting salary and 84% of our grads secured a promotion or new position within three months of graduation. […]"
Image Augmentation with Keras Preprocessing Layers and tf.image,https://machinelearningmastery.com/image-augmentation-with-keras-preprocessing-layers-and-tf-image/,"July 20, 2022",Adrian Tam,Deep Learning,"When you work on a machine learning problem related to images, not only do you need to collect some images as training data, but you also need to employ augmentation to create variations in the image. It is especially true for more complex object recognition problems. There are many ways for image augmentation. You may […]"
Image Augmentation for Deep Learning with Keras,https://machinelearningmastery.com/image-augmentation-deep-learning-keras/,"July 17, 2022",Jason Brownlee,Deep Learning,"Data preparation is required when working with neural networks and deep learning models. Increasingly, data augmentation is also required on more complex object recognition tasks. In this post, you will discover how to use data preparation and data augmentation with your image datasets when developing and evaluating deep learning models in Python with Keras. After […]"
Loss Functions in TensorFlow,https://machinelearningmastery.com/loss-functions-in-tensorflow/,"July 15, 2022",Zhe Ming Chng,Deep Learning,"The loss metric is very important for neural networks. As all machine learning models are one optimization problem or another, the loss is the objective function to minimize. In neural networks, the optimization is done with gradient descent and backpropagation. But what are loss functions, and how are they affecting your neural networks? In this […]"
High-Fidelity Synthetic Data for Data Engineers and Data Scientists Alike,https://machinelearningmastery.com/high-fidelity-synthetic-data-for-data-engineers-and-data-scientists-alike/,"July 15, 2022",MLM Team,Partners,"Sponsored Post If you’re a data engineer or data scientist, you know how hard it is to generate and maintain realistic data at scale. And to guarantee data privacy protection, in addition to all your day-to-day responsibilities? OOF. Talk about a heavy lift. But in today’s world, efficient data de-identification is no longer optional for […]"
Understanding the Design of a Convolutional Neural Network,https://machinelearningmastery.com/understanding-the-design-of-a-convolutional-neural-network/,"July 13, 2022",Adrian Tam,Deep Learning,"Convolutional neural networks have been found successful in computer vision applications. Various network architectures are proposed, and they are neither magical nor hard to understand. In this tutorial, you will make sense of the operation of convolutional layers and their role in a larger convolutional neural network. After finishing this tutorial, you will learn: How […]"
A Gentle Introduction to the tensorflow.data API,https://machinelearningmastery.com/a-gentle-introduction-to-tensorflow-data-api/,"July 12, 2022",Adrian Tam,Deep Learning,"When you build and train a Keras deep learning model, you can provide the training data in several different ways. Presenting the data as a NumPy array or a TensorFlow tensor is common. Another way is to make a Python generator function and let the training loop read data from it. Yet another way of […]"
Using Learning Rate Schedules for Deep Learning Models in Python with Keras,https://machinelearningmastery.com/using-learning-rate-schedules-deep-learning-models-python-keras/,"July 9, 2022",Jason Brownlee,Deep Learning,"Training a neural network or large deep learning model is a difficult optimization task. The classical algorithm to train neural networks is called stochastic gradient descent. It has been well established that you can achieve increased performance and faster training on some problems by using a learning rate that changes during training. In this post, […]"
