idx,values
2009-01-01,30580085
2009-02-01,28778916
2009-03-01,32963302
2009-04-01,31471512
2009-05-01,31665879
2009-06-01,31242816
2009-07-01,31233738
2009-08-01,30359286
2009-09-01,31208520
2009-10-01,32487588
2009-11-01,29816960
2009-12-01,29174539
2010-01-01,27816661
2010-02-01,28043658
2010-03-01,32608994
2010-04-01,31082930
2010-05-01,31216542
2010-06-01,30926539
2010-07-01,29619433
2010-08-01,29836011
2010-09-01,30100295
2010-10-01,30385617
2010-11-01,28932370
2010-12-01,27659766
2011-01-01,28581220
2011-02-01,27820713
2011-03-01,31773482
2011-04-01,30448725
2011-05-01,31367580
2011-06-01,30735182
2011-07-01,28974201
2011-08-01,30336164
2011-09-01,30554067
2011-10-01,31111034
2011-11-01,29195092
2011-12-01,28707109
2012-01-01,29124065
2012-02-01,29497770
2012-03-01,31467904
2012-04-01,29494708
2012-05-01,31768763
2012-06-01,29748939
2012-07-01,28908836
2012-08-01,31071556
2012-09-01,29750924
2012-10-01,32712793
2012-11-01,29046614
2012-12-01,27483168
2013-01-01,29386200
2013-02-01,28514044
2013-03-01,31025820
2013-04-01,31059181
2013-05-01,31723193
2013-06-01,28821701
2013-07-01,30019870
2013-08-01,31292483
2013-09-01,30481952
2013-10-01,32808584
2013-11-01,29182055
2013-12-01,29004415
2014-01-01,29748496
2014-02-01,28303852
2014-03-01,31150390
2014-04-01,30579856
2014-05-01,30936094
2014-06-01,27956197
2014-07-01,28698306
2014-08-01,29357120
2014-09-01,29222568
2014-10-01,31070146
2014-11-01,27574037
2014-12-01,27461076
2015-01-01,27674223
2015-02-01,27170544
2015-03-01,29892033
2015-04-01,28777494
2015-05-01,28283902
2015-06-01,27568238
2015-07-01,27796993
2015-08-01,27796274
2015-09-01,27988209
2015-10-01,29259504
2015-11-01,25969962
2015-12-01,25793811
2016-01-01,24664323
2016-02-01,26233143
2016-03-01,27402325
2016-04-01,26288443
2016-05-01,26326837
2016-06-01,25203232
2016-07-01,24277043
2016-08-01,25973842
2016-09-01,25455175
2016-10-01,25531633
2016-11-01,23979603
2016-12-01,22825258
2017-01-01,22171342
2017-02-01,21604148
2017-03-01,25794248
2017-04-01,23611510
2017-05-01,25086327
2017-06-01,23716670
2017-07-01,22942241
2017-08-01,24861705
2017-09-01,24113300
2017-10-01,25331595
2017-11-01,23298641
2017-12-01,22176563
2018-01-01,22675482
2018-02-01,21958972
2018-03-01,23214316
2018-04-01,23331877
2018-05-01,24198091
2018-06-01,22691252
2018-07-01,22105750
2018-08-01,24128752
2018-09-01,22965413
2018-10-01,25080291
2018-11-01,22438608
2018-12-01,20988857
2019-01-01,21263765
2019-02-01,20883716
2019-03-01,23562034
2019-04-01,23691650
2019-05-01,24351954
2019-06-01,22286620
2019-07-01,23735873
2019-08-01,24649209
2019-09-01,24102718
2019-10-01,26065766
2019-11-01,21760680
2019-12-01,20954860
2020-01-01,21987685
2020-02-01,21767867
2020-03-01,15323805
2020-04-01,7448380
2020-05-01,9096081
2020-06-01,10679063
