title,author,date_time,url,description
Active vs. Passive Trading: The Key to Big Gains Is Stalking Your Trades,"James ""Rev Shark"" DePorre",2020-09-19 10:00:00-04:00,https://realmoney.thestreet.com/investing/active-vs-passive-trading-the-key-to-big-gains-is-stalking-your-trades-15432222,Take control of your trades rather than just sitting and hoping that they work.
How to Find Your 'Formula' for Making Great Stock Picks,"James ""Rev Shark"" DePorre",2020-09-12 10:00:00-04:00,https://realmoney.thestreet.com/investing/stocks/how-to-find-your-formula-for-making-great-stock-picks-15425236,The power and beauty of the stock market is that there are new opportunities every day.
"Selling's Not the End of a Good Trade, It's Just the Beginning","James ""Rev Shark"" DePorre",2020-09-05 10:00:00-04:00,https://realmoney.thestreet.com/investing/stocks/selling-s-not-the-end-of-a-good-trade-it-s-just-the-beginning-15418670,The most powerful strategic tool you possess is the 'sell' button.
Why You Should Be Both a Trader and an Investor,"James ""Rev Shark"" DePorre",2020-08-29 10:00:00-04:00,https://realmoney.thestreet.com/investing/why-you-should-be-both-a-trader-and-an-investor-15410490,The benefit of using both approaches is that it's a form of diversification.
"It's Compounding, Not Buy-and-Hold Investing, That's Your Path to Great Wealth","James ""Rev Shark"" DePorre",2020-08-22 10:00:00-04:00,https://realmoney.thestreet.com/investing/it-s-compounding-not-buy-and-hold-investing-that-s-your-path-to-great-wealth-15404935,The biggest challenge you will find in harnessing the power of compounding is finding the right vehicles for your precious cash.
The Challenge of Trading a Smaller Account,"James ""Rev Shark"" DePorre",2020-08-15 10:00:00-04:00,https://realmoney.thestreet.com/investing/the-challenge-of-trading-a-smaller-account-15399622,The first and foremost issue that small traders face is that they're dealing with a higher level of risk.
Trading the Market Bubble of 2020,"James ""Rev Shark"" DePorre",2020-08-08 10:00:00-04:00,https://realmoney.thestreet.com/investing/trading-the-market-bubble-of-2020-15393993,There are many lessons to learn from the bubble of 1999-2000. The main one is that there are some major differences.
This Weekend on Real Money,"James ""Rev Shark"" DePorre",2020-08-01 10:57:06-04:00,https://realmoney.thestreet.com/updates-and-conversations?published[value][date]=2020-08-01&author=All#this-weekend-on--20200801,
Is Investing in Stocks Just a Form of Gambling?,"James ""Rev Shark"" DePorre",2020-08-01 10:00:00-04:00,https://realmoney.thestreet.com/investing/is-investing-in-stocks-just-a-form-of-gambling--15387733,Market participants like to believe they aren't gamblers but there's no denying that luck plays a major role in the investment process.
To Make More Money Be More Aggressive,"James ""Rev Shark"" DePorre",2020-07-25 10:00:00-04:00,https://realmoney.thestreet.com/investing/to-make-more-money-be-more-aggressive-15381596,How do we take on the increased risk needed to produce better returns? Here are 6 steps to take.
